2020-02-21 20:39:45,334 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g s~ > xd xd~ s~, reuse diagrams.'
2020-02-21 20:39:45,335 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g s~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,339 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g b > xd xd~ d, reuse diagrams.'
2020-02-21 20:39:45,339 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g b > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,345 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-21 20:39:45,348 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g b~ > xd xd~ d~, reuse diagrams.'
2020-02-21 20:39:45,349 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g b~ > xd xd~ b~, reuse diagrams.'
2020-02-21 20:39:45,350 |    pack.madgraph.run |   INFO | b'INFO: Process u g > xd xd~ u added to mirror process g u > xd xd~ u'
2020-02-21 20:39:45,358 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,365 |    pack.madgraph.run |   INFO | b'INFO: Process c g > xd xd~ c added to mirror process g c > xd xd~ c'
2020-02-21 20:39:45,375 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,379 |    pack.madgraph.run |   INFO | b'INFO: Process d g > xd xd~ d added to mirror process g d > xd xd~ d'
2020-02-21 20:39:45,380 |    pack.madgraph.run |   INFO | b'INFO: Process d g > xd xd~ b added to mirror process g d > xd xd~ b'
2020-02-21 20:39:45,388 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,392 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d b~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,394 |    pack.madgraph.run |   INFO | b'INFO: Process s g > xd xd~ s added to mirror process g s > xd xd~ s'
2020-02-21 20:39:45,403 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,406 |    pack.madgraph.run |   INFO | b'INFO: Process u~ g > xd xd~ u~ added to mirror process g u~ > xd xd~ u~'
2020-02-21 20:39:45,407 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > xd xd~ g added to mirror process u u~ > xd xd~ g'
2020-02-21 20:39:45,416 |    pack.madgraph.run |   INFO | b'INFO: Process c~ g > xd xd~ c~ added to mirror process g c~ > xd xd~ c~'
2020-02-21 20:39:45,418 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > xd xd~ g added to mirror process c c~ > xd xd~ g'
2020-02-21 20:39:45,426 |    pack.madgraph.run |   INFO | b'INFO: Process d~ g > xd xd~ d~ added to mirror process g d~ > xd xd~ d~'
2020-02-21 20:39:45,427 |    pack.madgraph.run |   INFO | b'INFO: Process d~ g > xd xd~ b~ added to mirror process g d~ > xd xd~ b~'
2020-02-21 20:39:45,429 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > xd xd~ g added to mirror process d d~ > xd xd~ g'
2020-02-21 20:39:45,435 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d~ b > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,438 |    pack.madgraph.run |   INFO | b'INFO: Process s~ g > xd xd~ s~ added to mirror process g s~ > xd xd~ s~'
2020-02-21 20:39:45,441 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > xd xd~ g added to mirror process s s~ > xd xd~ g'
2020-02-21 20:39:45,447 |    pack.madgraph.run |   INFO | b'INFO: Process b g > xd xd~ d added to mirror process g b > xd xd~ d'
